식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
청국장찌개,46,4.515,1.56,3.415,0.475,267.5,1.89,0.325,0.01,0,0,0,0,0
청어구이,129,8.2,10.03,0.22,0,391,32.5,1.85,,0,1,1,0,1
초당순두부,58,5.46,3.24,1.76,0.1,134,0,0.42,0,0,0,0,0,0
초밥_광어,151,9.02,1.31,25.85,2.57,270,15.58,0.35,0.01,1,1,0,0,1
초밥_농어,159,6.97,0.53,31.5,5.2,414,10.6,0.26,0.01,1,0,0,0,1
초밥_모듬,157,9.065,1.805,26.1,2.14,232.5,21.525,0.455,0.015,1,1,0,0,1
초밥_문어,157,5.85,0.3,32.71,5.35,480,28.03,0.14,0,1,0,0,1,1
초밥_새우,130,7.78,1.94,20.41,3.95,451,56.34,0.19,0,1,1,0,0,1
초밥_연어,207,11.2,9.36,19.59,3.62,278,27.84,1.23,0.03,1,1,1,0,1
초밥_한치,150,5.48,0.34,31.17,5.25,480,40.03,0.18,0,1,0,0,1,1
초코소라빵,319,3.29,10.93,51.76,9.29,215,19.61,4.34,0.03,2,0,1,1,2
총각김치,42,1.92,0.29,7.89,3,630,0,0.05,0,0,0,0,0,0
추어탕,35.5,3.258333333,1.405,2.546666667,0.41,236.1666667,21.84,0.186666667,0.005,0,0,0,0,0
충무김밥,137,4.68,1.695,25.44,2.585,255,27.28,0.33,0.01,1,0,0,0,1
취나물무침,73.66666667,2.05,4.913333333,6.013333333,0.89,360.3333333,0,0.686666667,0.05,0,0,0,0,0
츄러스,273,5.4,7.79,44.455,12.87,333,6.045,1.61,0.19,2,0,1,1,2
치아바타,276,7.57,6.49,45.95,3.24,530,0,0.86,0,2,1,1,0,2
치즈볼,333,9.56,20,28.66,5.48,532,23.23,7.33,0.48,1,1,2,1,2
치즈스틱,329,14.295,20.315,22.285,1.96,635.5,21.13,7.08,0.21,1,1,2,0,2
치커리무침,16,0.8,0.48,2.35,0.69,171,0,0.08,,0,0,0,0,0
치킨가스,296,13.96,16.96,22.01,2.08,390,36.48,4.21,0.13,1,1,1,0,2
치킨데리야끼,138.5,17.285,3.0625,10.1175,2.985,310.5,46.42,0.79,0.06,0,1,0,0,1
칠면조구이,207,30.6,7.98,0.96,0.11,551,101.17,2.06,,0,2,1,0,1
카레라이스,108,3.11,1.4,20.74,0.16,210,2.79,0.44,0.04,1,0,0,0,0
카스텔라,335,10.03,11.47,47.99,33.77,63,211.21,1.14,0.01,2,1,1,2,2
닭칼국수,60,4.296666667,0.793333333,8.633333333,0.31,126,9.35,0.166666667,0,0,0,0,0,0
들깨칼국수,94.5,3.17,2.74,14.195,0.195,174,0.285,0.25,0,1,0,0,0,0
바지락칼국수,61,2.643333333,0.556666667,11.2,0.286666667,161.3333333,9.133333333,0.143333333,0,0,0,0,0,0
캘리포니아롤,163,4.11,3.02,29.74,2.97,432,21.99,0.71,0.02,1,0,0,0,1
초콜릿 케이크,350,4.44,26.67,41.11,11.11,83,61.11,4.56,0,2,0,2,1,2
생크림 케이크,235,3,14,26,7,95,60,9,0.35,1,0,1,1,1
브라우니,449,5.88,25.88,48.24,41.18,52,101.18,7.06,0,2,0,2,2,2
티라미수,270,4,22,23,14,65,105,12,0.35,1,0,2,1,2
치즈 케이크,349.25,5.8875,24.775,25.685,18.9775,235,111.94,16.085,0.475,1,0,2,1,2
코다리조림,72.5,11.69,0.985,3.935,1.7425,347.5,40.805,0.17,0.02,0,1,0,0,0
코다리찜,55.6,7.698,0.99,4.208,1.172,243.2,25.536,0.174,0.01,0,1,0,0,0
콘치즈구이,134.2,3.922,6.304,15.326,3.894,186.2,11.804,2.564,0.11,1,0,1,0,1
콩국수,98.6,4.762,2.534,13.844,0.728,209.2,0.54,0.28,0,1,0,0,0,0
콩나물 느타리무침,45.5,3.05,2.8,4.28,0.585,184,0,0.44,,0,0,0,0,0
콩나물 된장국,24.5,2.7,0.69,2.535,0.62,273.5,2.47,0.13,,0,0,0,0,0
콩나물 황태국,30,4.6,0.87,0.99,0.3,129,25.92,0.23,,0,0,0,0,0
콩나물국,6,0.746666667,0.143333333,0.683333333,0.123333333,165,1.593333333,0.033333333,0,0,0,0,0,0
콩나물냉채,27,2.1,0.79,4.05,1.91,202,0.1,0.14,,0,0,0,0,0
콩나물무침,44,2.73,2.845,2.325,0.31,262.5,0,0.335,0,0,0,0,0,0
콩나물밥,123,4.68,1.58,22.39,0.04,272,3.14,0.42,0.01,1,0,0,0,1
콩나물잡채,73,3.5,5.175,3.8925,1.7975,135.25,6,1.315,,0,0,0,0,0
콩나물찌개,12,1.6,0.37,1.09,0.13,219,5.34,0.08,,0,0,0,0,0
콩밥,173,4.38,0.39,38.04,0.1,25,0,0.14,0,2,0,0,0,1
콩비지찌개,47.75,4.115,1.6825,4.0775,1.385,210,4.9125,0.335,0.01,0,0,0,0,0
콩조림(콩자반),276,18.635,5.965,36.965,3.53,967.5,0,0.335,0,2,2,0,0,2
크로와상,446,7.52,26.98,43.31,6.1,457,24.5,9.75,0.27,2,1,2,1,2
크로켓(고로케)_명품잡채 고로케,275,5.83,15,30,7.5,458,8.33,2.75,0,1,0,1,1,2
크로켓(고로케)_야채감자 고로케,304,6.09,16.52,32.17,6.09,391,4.35,3.22,0,1,0,1,1,2
크로켓(고로케)_채소,301,7.13,16.38,31.19,3.37,403,41.89,3.59,0.15,1,0,1,0,2
에그타르트,280.3333333,5.3,14.7,33.05,13.03333333,137,110,7.233333333,0.7,1,0,1,1,2
탄탄면,174,5.73,7.4,21,3.1,339,6.52,1.02,0.04,1,0,1,0,1
탕수어,249,11.23333333,6.84,34.37333333,7.49,286,56.84,1.113333333,,1,1,1,1,1
탕수육,164.5,10.25,6.8175,14.6575,4.545,147,37.045,1.4675,,1,1,1,0,1
김치피자탕수육,227,12.36,10.67,20.47,7.37,399,22.22,4.06,0.07,1,1,1,1,1
탕평채,74.6,2.63,3.798,7.608,0.414,386.4,15.696,1.146,0.03,0,0,0,0,0
