식품명,칼로리,단백질,지방,탄수화물,당류,나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),탄수화물_cluster,단백질_cluster,지방_cluster,당류_cluster,칼로리_cluster
우리쌀 막걸리로 만든 초당옥수수빵,206,4.85,0.79,44.85,13.33,333,0,0,0,2,0,0,1,1
카라멜아몬드,450,10.7,24.9,45.8,12.1,256,,6.3,,2,1,2,1,2
기피편,220,5.45,0.25,48.99,2.08,281,0,0.13,0,2,0,0,0,1
조미김,470,20.4,30.2,29,0.2,4011,0,3,0.2,1,2,2,0,2
김국,13.5,0.9,0.27,2.305,0.26,116.5,10.16,0.085,,0,0,0,0,0
김말이튀김,161.3333333,1.455,6.723333333,23.64333333,0.508333333,262.5,10.24,0.973333333,0.075,1,0,1,0,1
김무침,142.6666667,12.07,7.076666667,13.52,3.13,632.3333333,0,0.93,0.07,1,1,1,0,1
계란김밥,98,4.3,2.22,14.675,0.705,147.5,54.515,0.605,,1,0,0,0,0
고추김밥,94,3.2,1.63,16.5,0.65,152,18.31,0.37,,1,0,0,0,0
김치김밥,119.5,3.95,2.86,19.23,0.6,291.5,33.905,0.725,0.02,1,0,0,0,1
날치알김밥,140.5,5.15,3.08,22.97,0.97,276,51.2,0.8,0.03,1,0,0,0,1
돈가스김밥,175,5.085,5.72,25.52,1.18,233,16.13,1.185,0.04,1,0,0,0,1
멸치고추김밥,122,5.6,1.79,20.5,0.93,280,37.74,0.44,,1,0,0,0,1
소고기김밥,139.25,5.2375,3.545,21.2825,0.5425,256.25,30.3225,1.02,0.105,1,0,0,0,1
참치김밥,145.8,6.008,4.856,19.206,0.842,254.4,27.45,0.868,0.045,1,0,0,0,1
야채김밥,113.8,3.68,2.07,19.776,0.5,183.4,21.568,0.528,0.02,1,0,0,0,1
치즈김밥,149.5,5.42,4.995,20.38,0.405,195,30.36,1.85,0.13,1,0,0,0,1
김부각,329.3333333,11.83333333,14.96666667,43.61666667,0.643333333,271.3333333,0,2.276666667,,2,1,1,0,2
