,url,title,calories,carbohydrates,protein,fat,ingredients
118,https://www.10000recipe.com/recipe/7010409,대패 우유 카레우동 레시피,1050,70,55,60,"우동면, 양파, 우유, 카레가루, 대패삼겹살"
119,https://www.10000recipe.com/recipe/6913952,목우촌 집반찬 간편요리 마늘쫑 소시지 볶음,380,10,15,30,"소세지, 마늘쫑, 간장, 올리고당, 참기름, 통깨"
120,https://www.10000recipe.com/recipe/6875304,고소하고 향긋한 깻잎들깨볶음,120,6,4,8,"깻잎, 파, 마늘, 국간장, 참기름, 들깨가루, 깨"
121,https://www.10000recipe.com/recipe/7025912,토마토 달걀볶음/방울토마토,234,9,12,17,"달걀, 방울토마토, 파, 마늘, 간장, 식용유, 소금, 후추"
122,https://www.10000recipe.com/recipe/6918934,갈릭마요새우 간단히 만들어 먹는 술안주!,540,8,28,44,"새우, 마늘, 마요네즈, 설탕, 버터, 후추, 소금, 파슬리"
123,https://www.10000recipe.com/recipe/7014484,NO밀가루! 감자치즈호떡 아이들 간식으로 딱 좋아요.,1200,100,40,70,"감자, 모짜렐라 치즈, 마요네즈, 설탕, 소금, 전분가루, 버터"
124,https://www.10000recipe.com/recipe/7026723,마요네즈 스팸계란볶음밥 레시피,1430,92,53,96,"공기밥, 계란, 식용유, 스팸, 마요네즈, 간장, 통깨"
125,https://www.10000recipe.com/recipe/6877253,비엔나 만두 강정,1120,74,40,75,"만두, 비엔나 소세지, 간장, 고추장, 케찹, 올리고당, 마늘, 참기름, 깨"
126,https://www.10000recipe.com/recipe/7042351,아삭한 콩나물무침!,320,45,15,10,"콩나물, 파, 맛술, 고추가루, 마늘, 소금, 참기름, 통깨"
127,https://www.10000recipe.com/recipe/6885909,【간단반찬】꽈리고추 햄볶음 만들기~,1035,58,31,77,"꽈리고추, 햄, 양파, 진간장, 굴소스, 마늘, 올리고당, 식용유, 참기름"
128,https://www.10000recipe.com/recipe/6966445,파프리카달걀볶음:초간단 저탄고지 다이어트 단백질식사,387,18,19,28,"파프리카, 달걀, 양파, 현미유, 소금, 후추, 파슬리"
129,https://www.10000recipe.com/recipe/7036790,류수영 어묵국수 만들기 참치액으로 끝!,1120,200,60,10,"어묵, 파, 소면, 참치액, 후추"
130,https://www.10000recipe.com/recipe/6946282,깐풍기맛 나는 깐풍두부!,320,29,23,12,"두부, 파, 청양고추, 굴소스, 식초, 고춧가루, 마늘, 설탕, 진간장"
131,https://www.10000recipe.com/recipe/6991245,참치양파볶음 (초간단 초스피드 반찬 레시피),415.5,16.9,31.6,25.6,"참치캔, 양파, 파, 청양고추, 통깨, 식용유, 고춧가루, 설탕, 진간장"
132,https://www.10000recipe.com/recipe/7002301,고소하고 짭짤한 초간단 명란버터우동,650,70,25,30,"우동면, 명란젓, 쪽파, 버터, 달걀, 김가루, 쯔유"
133,https://www.10000recipe.com/recipe/6897374,꿀마늘 닭강정(아이들 단골메뉴 찜♡♡),1650,108,108,90,"닭봉, 파프리카, 간장, 설탕, 꿀, 마늘, 후추"
134,https://www.10000recipe.com/recipe/6952025,무볶음 만들기,150,7,2,12,"무, 파, 들기름, 맛소금, 마늘, 깨"
135,https://www.10000recipe.com/recipe/7002427,돼지고기감자조림 밥통이 거덜날 수 있어요,1395.5,94.6,94.3,70.1,"감자, 돼지고기 앞다리살, 양파, 청양고추, 파, 마늘, 참치액젓, 진간장, 설탕, 맛술, 고춧가루, 고추장"
136,https://www.10000recipe.com/recipe/6846168,초간단 럭셔리요리@ 매콤참치퀘사디아,780,70,40,35,"또띠아, 참치캔, 치즈, 양파, 청양고추, 토마토소스"
137,https://www.10000recipe.com/recipe/6894755,만물상에 소개된 불 없이 5분만에 만든 오징어채 황금 레시피!,315,17,6,24,"진미채, 고추장, 고추가루, 간장, 마늘, 깨, 참기름, 올리고당, 마요네즈"
138,https://www.10000recipe.com/recipe/2399193,매콤하게 즐기는 새우당면 덮밥,1035,123,64,33,"당면, 새우, 양파, 파, 마늘, 고추기름, 참기름, 멸치, 다시마, 설탕, 고추장, 굴소스, 맛술, 후추"
139,https://www.10000recipe.com/recipe/6990828,"5분 컷 세상 간단한 달걀요리, 우유달걀카레",632,31,29,44,"달걀, 우유, 마늘, 양파, 버터, 카레가루, 소금"
