url,title,ingredients
https://www.10000recipe.com/recipe/6897383,스팸 돈부리덮밥!반찬이 필요없는 초간단 한그릇 요리,"스팸, 양파, 계란, 파, 간장, 설탕"
https://www.10000recipe.com/recipe/7010409,대패 우유 카레우동 레시피,"우동면, 양파, 우유, 카레가루, 대패삼겹살"
https://www.10000recipe.com/recipe/6875304,고소하고 향긋한 깻잎들깨볶음,"깻잎, 파, 마늘, 국간장, 참기름, 들깨가루, 깨"
https://www.10000recipe.com/recipe/6975337,순두부찜 (다이어트음식에 아주 좋은 순두부요리),"순두부, 파, 고추, 마늘, 진간장, 참치액, 맛술, 참기름, 통깨, 고춧가루"
https://www.10000recipe.com/recipe/6913952,목우촌 집반찬 간편요리 마늘쫑 소세지 볶음,"소세지, 마늘쫑, 간장, 올리고당, 참기름, 통깨"
https://www.10000recipe.com/recipe/6918934,갈릭마요새우 간단히 만들어 먹는 술안주!,"새우, 마늘, 마요네즈, 설탕, 버터, 후추, 소금, 파슬리"
https://www.10000recipe.com/recipe/7014484,NO밀가루! 감자치즈호떡 아이들 간식으로 딱 좋아요.,"감자, 모짜렐라 치즈, 마요네즈, 설탕, 소금, 전분가루, 버터"
https://www.10000recipe.com/recipe/7043734,"간장 멸치볶음 만드는 법, 간단한 밑반찬 만들기","멸치, 식용유, 마늘, 진간장, 맛술, 올리고당, 깨"
https://www.10000recipe.com/recipe/7040553,[매콤감자조림] 간단하고 매콤한 감자 요리 레시피 | 신혼밥상,"감자, 양파, 파, 고춧가루, 마늘, 올리고당, 간장, 맛술, 들기름, 고추장, 참치액젓"
https://www.10000recipe.com/recipe/7027794,입맛 없는 여름에 딱 좋은 한 끼! 오이고추 비빔밥,"오이고추, 참치, 김가루, 통깨, 된장, 들기름, 마늘, 매실청, 식초"
https://www.10000recipe.com/recipe/6877253,비엔나 만두 강정,"만두, 비엔나 소세지, 간장, 고추장, 케찹, 올리고당, 마늘, 참기름, 깨"
https://www.10000recipe.com/recipe/6991245,참치양파볶음 (초간단 초스피드 반찬 레시피),"참치캔, 양파, 파, 청양고추, 통깨, 식용유, 고춧가루, 설탕, 진간장"
https://www.10000recipe.com/recipe/6885909,【간단반찬】꽈리고추 햄볶음 만들기~,"꽈리고추, 햄, 양파, 진간장, 굴소스, 마늘, 올리고당, 식용유, 참기름"
https://www.10000recipe.com/recipe/6966445,파프리카달걀볶음:초간단 저탄고지 다이어트 단백질식사,"파프리카, 달걀, 양파, 현미유, 소금, 후추, 파슬리"
https://www.10000recipe.com/recipe/6946282,깐풍기맛 나는 깐풍두부!,"두부, 파, 청양고추, 굴소스, 식초, 고춧가루, 마늘, 설탕, 진간장"
https://www.10000recipe.com/recipe/7002301,고소하고 짭짤한 초간단 명란버터우동,"우동면, 명란젓, 쪽파, 버터, 달걀, 김가루, 쯔유"
https://www.10000recipe.com/recipe/6897374,꿀마늘 닭강정(아이들 단골메뉴 찜♡♡),"닭봉, 파프리카, 간장, 설탕, 꿀, 마늘, 후추"
https://www.10000recipe.com/recipe/6952025,무볶음 만들기,"무, 파, 들기름, 맛소금, 마늘, 깨"
https://www.10000recipe.com/recipe/6846168,초간단 럭셔리요리@ 매콤참치퀘사디아,"또띠아, 참치캔, 치즈, 양파, 청양고추, 토마토소스"
https://www.10000recipe.com/recipe/7002427,돼지고기감자조림 밥통이 거덜날 수 있어요,"감자, 돼지고기 앞다리살, 양파, 청양고추, 파, 마늘, 참치액젓, 진간장, 설탕, 맛술, 고춧가루, 고추장"
https://www.10000recipe.com/recipe/2399193,매콤하게 즐기는 새우당면 덮밥,"당면, 새우, 양파, 파, 마늘, 고추기름, 참기름, 멸치, 다시마, 설탕, 고추장, 굴소스, 맛술, 후추"
https://www.10000recipe.com/recipe/6894755,만물상에 소개된 불 없이 5분만에 만든 오징어채 황금 레시피!,"진미채, 고추장, 고추가루, 간장, 마늘, 깨, 참기름, 올리고당, 마요네즈"
https://www.10000recipe.com/recipe/6990828,"5분 컷 세상 간단한 달걀요리, 우유달걀카레","달걀, 우유, 마늘, 양파, 버터, 카레가루, 소금"
https://www.10000recipe.com/recipe/6989041,파 싫어하는 아이들도 잘 먹는 파 냉파스타 만들어 보세요.,"파, 푸실리, 간장, 올리브유, 참기름, 올리고당, 식초, 마늘"
https://www.10000recipe.com/recipe/7032267,계란 참치전 만드는법 간단한 밥반찬 야채 참치전 레시피,"참치, 계란, 양파, 파, 당근, 팽이버섯, 소금, 후추, 전분가루"
https://www.10000recipe.com/recipe/6910706,재료도 방법도 초간단! 떠먹는 치즈감자,"감자, 베이컨, 모짜렐라 치즈, 우유, 후추"
https://www.10000recipe.com/recipe/6924130,쉽고간단한 시금치양파계란볶음!,"시금치, 양파, 계란, 소금, 올리브유, 통깨"
https://www.10000recipe.com/recipe/7039682,[가지양념구이] 간단하지만 맛있는 황금레시피 | 신혼밥상,"가지, 밀가루, 진간장, 식초, 마늘, 꿀, 청양고추"
https://www.10000recipe.com/recipe/6891606,백종원의 부추 달걀 볶음,"부추, 달걀, 식용유, 밥, 굴소스, 참기름"
https://www.10000recipe.com/recipe/6996297,고구마떡 고구마씨를 말릴 수 있는 위험한 레시피,"고구마, 설탕, 감자전분, 모짜렐라 치즈, 식용유"
https://www.10000recipe.com/recipe/6895591,쫄깃하고 맛있는 두부볶음 레시피!다이어트 요리로도 좋아요,"두부, 마늘, 고추장, 간장, 굴소스, 올리고당, 참기름, 깨"
https://www.10000recipe.com/recipe/6918383,달콤한 양파속에 꼭꼭 숨은 닭가슴살,"닭가슴살, 달걀, 양파, 소금"
https://www.10000recipe.com/recipe/7027008,고추장 대신 된장소스 곁들인 감칠맛 가득 부추비빔밥,"부추, 참치, 달걀, 밥, 된장, 식초, 마늘, 청양고추, 들기름, 매실청"
https://www.10000recipe.com/recipe/7035279,감칠맛 가득 밥반찬 애호박 새우마요 볶음,"새우, 애호박, 올리브유, 참기름, 맛술, 간장, 마요네즈, 와사비, 후추, 쪽파"
https://www.10000recipe.com/recipe/6869489,매콤버섯덮밥~한그릇,"느타리버섯, 양파, 파, 밥, 참깨, 간장, 고추가루, 참기름, 설탕"
https://www.10000recipe.com/recipe/6988775,오이무침 (5분이면 완성하는 반찬레시피),"오이, 쪽파, 고춧가루, 멸치액젓, 매실청, 마늘, 통깨"
https://www.10000recipe.com/recipe/6869017,【반전의맛】스팸 양배추 덮밥 만들기~,"양배추, 양파, 파, 스팸, 땡초, 마늘, 간장, 굴소스, 참기름, 설탕, 후추"
https://www.10000recipe.com/recipe/6959420,톡 쏘는 맛이 매력인 새콤달콤 닭고기 냉채 : 더워서 입맛 없을 때 무조건 이 메뉴!,"닭고기, 양배추채, 파프리카, 연겨자, 간장, 식초, 매실청, 꿀, 마늘, 통깨"
https://www.10000recipe.com/recipe/6881099,완전맛있는 차돌박이찜! 미소된장마요소스도 함께~,"차돌박이, 깻잎, 팽이버섯, 숙주나물, 미소된장, 마요네즈, 올리고당, 마늘, 고춧가루, 청양고추"
https://www.10000recipe.com/recipe/6834258,초간단 연두부반찬,"연두부, 파, 청양고추, 마늘, 간장, 고춧가루, 깨소금, 참기름"
https://www.10000recipe.com/recipe/6988709,차가워도 맛있는 추억의 급식달걀찜,"달걀, 당근, 양파, 쪽파, 참치액, 맛술, 소금, 통깨"
https://www.10000recipe.com/recipe/6892209,볶아 먹는 시금치도 맛있다♪ 시금치달걀볶음,"시금치, 달걀, 기름, 파, 소금"
https://www.10000recipe.com/recipe/6939980,쫄깃 매콤한 백종원 느타리 두루치기,"느타리버섯, 양파, 애호박, 고추, 파, 고추장, 고춧가루, 간장, 설탕, 마늘, 참기름"
https://www.10000recipe.com/recipe/6868389,치킨너겟으로 간편하게 간장치킨 만들기,"치킨너겟, 진간장, 설탕, 올리고당, 마늘, 매실액, 맛술"
