url,title,ingredients,칼로리,탄수화물,단백질,지방
https://www.10000recipe.com/recipe/6894872,냉파요리로 좋은 5분완성 떠먹는 컵피자 만들기,"식빵 1장, 양파 1/4개, 샌드위치햄 2장, 캔옥수수 2T, 모짜렐라 치즈 적당히, 파슬리가루 톡톡, 토마토 스파게티 소스 적당히",540,70,23,19
https://www.10000recipe.com/recipe/6984865,[유아식]당면을 넣어 만든 달걀만두,"당면 20g, 양파 30g, 애호박 20g, 당근 20g, 팽이버섯 30g, 달걀 2개, 아기 간장 0.5T, 참기름 0.5T, 소금, 현미유",320,24,14,18
https://www.10000recipe.com/recipe/6862339,두부시금치무침 이 레시피가 제일 맛있네요,"시금치 1단, 두부 1/2모, 간장 2T, 참기름 1T, 깨소금 1T, 설탕 0.5T, 소금 0.5T",420,20,30,25
https://www.10000recipe.com/recipe/6894538,바쁜 아침 5분 뚝딱 !맛보장 '참치계란간장밥'레시피,"밥 1공기, 계란 2개, 참치 2T, 대파 약간, 간장 1.5~2T, 참기름 1T, 깨 1T",774,77,38,33
https://www.10000recipe.com/recipe/6904080,모양까지 예쁜 핑거푸드[양송이버섯 타파스],"양송이버섯 15개, 닭가슴살 100g, 양파 1/2개, 파프리카 1/3쪽, 치즈 2장, 후추 살짝",420,15,60,15
https://www.10000recipe.com/recipe/6902300,중식의 대가 이연복 쉐프 깐풍만두 초간단 레시피,"만두 10개, 대파 1대, 쥐똥고추or청양고추 or청양고추, 다진마늘 1T, 간장 1T, 설탕 1T, 식초 2T, 물엿 1/2T, 후추 톡톡",1020,186,40,10
https://www.10000recipe.com/recipe/7004654,매콤새콤 입맛을 확 잡아주는 차돌박이부추무침,"차돌박이 200g, 부추 100g, 양파 1/2개, 홍고추 1개, 통깨 1숟가락, 소금 약간, 후추 약간, 고춧가루 1숟가락, 간장 2숟가락, 식초 2숟가락, 매실액 1숟가락, 들기름 1숟가락",540,23,33,35
https://www.10000recipe.com/recipe/6904864,치즈덕후 설레는 치즈폭발 '갈릭치즈 토스트'간식 만들기,"식빵 2장, 체다치즈 2장, 모짜렐라 치즈 넉넉히, 버터 2T, 다진마늘 1T, 설탕 1/2T, 파슬리가루 1/2T",1040,78,44,64
https://www.10000recipe.com/recipe/6975041,빨간어묵 매콤~~하니 자꾸만 먹게되네?,"어묵 8장, 멸치육수또는 쌀뜨물 또는 쌀뜨물, 계란 노른자 2~3개, 고추장 2큰술, 고춧가루 1큰술, 진간장 1큰술, 올리고당 1큰술, 설탕 1큰술, 맛술 1큰술, 다진마늘 1큰술, 후춧가루 톡톡, 참치액젓 1큰술",1040,47,68,63
https://www.10000recipe.com/recipe/6922432,비스퀵 l 할아버지 버거집에서만 팔았던 KFC비스켓 ★,"박력분 180g, 베이킹파우더 6g, 설탕 15g, 소금 2g, 버터 70g, 우유 100g",1062,141,17,49
https://www.10000recipe.com/recipe/6831876,다이어트요리 두부카레볶음밥,"두부 1모, 계란 1개, 우유 5숟갈, 부추 조금, 카레가루 1.5스푼, 소금 조금",460,15,33,30
https://www.10000recipe.com/recipe/6899367,녹네 녹아.. 전자렌지 1분 30초 컷. 고소 짭짤 수란마요밥 만들기,"달걀 1개, 마요네즈 1T, 굴소스 1T, 참기름 1T",231,2,7,21
https://www.10000recipe.com/recipe/4145941,치즈 웨지 감자,"감자 큰크기 4개, 슬라이스치즈 3장, 우유 2/3컵, 구운베이컨잘게 썬 잘게 썬, 다진마늘 1.5큰술, 우유, 치즈, 베이컨",1420,78,68,94
https://www.10000recipe.com/recipe/7044716,"또띠아 요리, 햄치즈또띠아 레시피","또띠아 1장, 계란 1알, 체다치즈 2장, 샌드위치용햄 2장, 식용유 0.5T, 소금 0.1T",614,19,33,45
https://www.10000recipe.com/recipe/6926078,♥[신혼밥상] 아몬드초코칩쿠기,"박력분 100g, 코코아파우더 20g, 아몬드 슬라이스 60g, 무염버터 62g, 설탕 40g, 달걀노른자 1개, 바닐라에센스 약간",1345,116,31,88
https://www.10000recipe.com/recipe/6927971,매운 팽이버섯 조림 간단 반찬/술안주/맥주안주/소주안주 굿굿!!,"팽이버섯 1봉지, 고추장 1스푼, 진간장 1스푼, 설탕 1.5스푼, 다진마늘 1스푼, 물 2스푼",78.5,15.5,4.5,0.5
https://www.10000recipe.com/recipe/1135209,<호두비스킷> 재료가 딱 4가지~~너무 쉬운 베이킹~~^^,"호두 70g, 달걀 흰자 1개, 설탕 40g, 밀가루 1큰술",515,38,16,33
https://www.10000recipe.com/recipe/6910980,카페 부럽지 않은 '베이컨에그토스트'!식빵으로 쉽게 만들기!,"식빵 2장, 베이컨 2줄, 계란 2개, 슬라이스치즈 2장, 파슬리가루 약간, 딸기잼 약간",1020,84,52,54
https://www.10000recipe.com/recipe/6890570,새우굴소스파스타,"파스타면 100g, 청양고추 2개, 마늘 30g, 버터 30g, 새우 6마리, 파마산치즈가루 약간, 오일 3T, 소금 약간, 굴소스 1.5T",1025,78,45,62
https://www.10000recipe.com/recipe/6909721,초간단 밥도둑 반찬! '깻잎스팸전'황금 레시피,"스팸 1캔, 계란 1개, 깻잎 약간, 밀가루 약간",1020,38,73,67
https://www.10000recipe.com/recipe/6930572,비건베이킹인데 너무 맛있는 감자 크래커!,"박력분 150g, 소금 1g, 설탕 15g, 카놀라유 40g, 으깬감자 100g, 장식용 설탕 약간",1065,207,15,25
https://www.10000recipe.com/recipe/6904643,"고깃집 무초절임, 밥상을 든든히 채워주는 밑반찬","무보통사이즈 보통사이즈, 식초 1.5컵, 설탕 1컵, 소금 1큰술",1045,261,1,0
https://www.10000recipe.com/recipe/6955759,닭안심냉채,"닭안심 300g, 양파 1/2개, 당근 1/5개, 파프리카빨강 1/4개, 파프리카노랑 1/4개, 오이 1/2개, 간장 2T, 연겨자 3T, 2배식초 3T, 레몬즙 3T, 마늘 1T, 설탕 3T, 매실청 3T, 소금 1꼬집",1050,97,84,36
https://www.10000recipe.com/recipe/6887551,베이컨치즈 밥말이,"햇반 2개, 베이컨 1팩, 후추 약간, 소금 약간, 참기름 1t, 깨 1t, 슬라이스 치즈 8장",1440,96,72,88
https://www.10000recipe.com/recipe/7043955,토마토 떡볶이 만들기 떡국 떡 요리 (시판 스파게티 소스 활용 레시피),"시판 토마토스파게티소스300g 300g, 베이컨 100g, 양파 1/2개, 양송이버섯 5개, 떡국떡 200g, 다진 마늘 1/2T, 파마산치즈가루 2T",1345,157,59,54
https://www.10000recipe.com/recipe/6831988,"견과류 듬뿍 넣은 쫄깃,달콤함 ""두부강정""♪","부침용 두부 1모, 양파, 당근, 아몬드슬라이스, 호두, 케찹 3스푼, 고추장 1스푼, 간장 1스푼, 다진 마늘 1스푼, 올리고당 2스푼, 설탕 1/2스푼",1120,68,68,68
https://www.10000recipe.com/recipe/6842280,연두부 샐러드,"연두부 1팩, 어린잎채소 1/2줌, 파프리카 약간, 양파 약간, 간장 2.5T, 식초 1.5T, 설탕 1T, 다진마늘 1T, 참기름 1t, 통깨 약간",320,20,15,20
https://www.10000recipe.com/recipe/4803252,버섯 들깨소스 무침,"느타리버섯 200g, 표고버섯 4개, 쪽파 2대, 들깨가루 2Ts, 멸치액젓 1Ts, 비정제 황설탕 1/2ts, 들기름 2ts",320,18,12,24
https://www.10000recipe.com/recipe/6965550,초간단 굴소스 두부덮밥,"두부 1모, 양파 1/4개, 대파 약간, 식용유 약간, 밥 1/2공기, 다진마늘 1스푼, 굴소스 1스푼, 간장 1스푼, 올리고당 1스푼, 후추 적당히, 참기름 약간, 참깨 적당히, 물 2/3종이컵",540,63,20,23
https://www.10000recipe.com/recipe/6885808,브로콜리참치전,"브로콜리 데친 것 1줌, 참치150g 150g, 양파 1/4개, 달걀 1개, 부침가루 1.5스푼, 파프리카노랑/빨강 노랑/빨강, 소금 적당량, 후춧가루 적당량",415,26,38,17
https://www.10000recipe.com/recipe/6863792,[간단 자취요리] 닭가슴살캔으로 치즈 불닭 만들기 / 혼술안주,"닭가슴살 통조림중간크기 중간크기, 양파작은거 작은거, 양배추 1줌, 고추장 2T, 고춧가루 3T, 간장 1T, 설탕 2T, 다진마늘 1T",540,60,50,10
